Bot1,Bot2,Bot3,Bot4,Bot5,Bot6,House
30.05,-100.45,39.7,36.75,-63.05,-100.0,1.57
-100.0,-102.6,-108.95,-53.35,-100.0,37.8,4.27
-35.1,-100.0,31.45,-100.0,-72.1,-100.0,3.76
-51.6,-100.0,32.45,-37.2,-100.0,31.3,2.25
32.65,-33.7,-103.2,-61.75,-79.65,-100.0,3.46
37.1,-100.0,-100.6,5.15,36.95,-100.0,2.21
-46.75,-102.8,33.0,35.7,-100.0,-68.1,2.49
-71.35,-104.05,-105.15,40.7,-100.0,-100.0,4.4
32.0,34.45,-100.0,-44.55,41.85,-100.0,1.36
-59.85,-107.15,38.95,30.8,3.85,34.25,0.59
-100.0,37.95,-105.55,-74.2,-100.0,-50.35,3.92
40.85,-100.0,30.15,33.65,49.55,-74.75,0.21
-67.6,-102.65,-103.26,-91.9,30.4,-8.15,3.43
-100.8,-100.05,-108.65,43.8,-100.0,-43.65,4.09
34.6,-100.0,30.8,33.65,-100.45,-36.4,1.38
-64.75,-52.3,-48.2,37.8,-57.55,-14.05,1.99
32.35,-100.0,-100.1,43.95,-48.55,30.85,1.42
-28.6,-101.25,-100.0,40.4,-88.65,-62.0,3.4
-86.1,-105.95,-100.0,31.85,34.2,-100.0,3.26
33.45,-103.5,-105.15,30.9,-100.0,-100.0,3.44
-91.65,-100.25,-100.66,40.2,-101.53,31.45,3.22
45.35,38.9,-102.0,-25.35,38.25,4.45,0.0
31.95,-105.7,-100.0,31.4,-100.0,-100.0,3.42
30.1,34.3,-100.0,36.75,-62.45,30.65,0.31
38.05,-102.35,-106.8,34.9,-100.0,-65.1,3.01
19.1,-100.05,35.7,-22.75,-100.0,-20.45,1.88
-29.2,-100.95,-109.35,34.5,-100.7,-100.0,4.06
30.95,-104.8,-100.37,-30.1,31.3,-22.85,1.96
-38.0,-100.0,-100.0,-38.4,-100.0,30.0,3.46
-24.65,-104.0,-106.05,37.4,33.6,-100.0,2.64
-92.1,-100.1,-100.2,32.5,-56.05,-38.55,3.55
-103.6,-100.05,-109.12,-23.0,-36.7,-73.15,4.46
33.1,-37.6,-39.6,38.35,-20.45,-11.5,0.38
13.45,-20.6,-100.0,31.25,30.9,-100.0,1.45
-39.9,-100.0,-101.35,-24.2,-49.0,30.4,2.84
38.3,-37.35,-58.75,30.05,40.4,-100.0,0.87
-97.95,-100.0,-103.05,-41.7,-6.7,-35.4,3.85
3.3,-100.0,-109.5,38.2,39.35,35.2,0.93
-31.7,-101.75,-100.75,30.65,-66.3,-100.0,3.7
33.4,-104.65,42.2,-77.6,-14.0,-32.6,1.53
-9.9,34.65,-22.65,30.05,30.85,-100.0,0.37
30.6,-14.65,-100.0,32.75,-103.75,-48.8,2.04
37.5,-100.0,-101.75,38.85,-100.0,-100.0,3.25
33.55,-105.25,-95.35,-37.6,-62.75,-96.9,3.64
-2.95,-100.5,-103.15,30.0,-100.0,33.35,2.43
-71.15,43.4,44.9,33.4,-32.5,-7.2,-0.11
-36.85,-52.1,-100.0,-9.9,-56.9,-96.35,3.52
31.15,-101.65,-102.15,-29.6,-100.0,-100.0,4.02
35.0,40.1,-71.4,31.6,-100.0,-100.0,1.65
-30.5,36.45,-107.2,-100.0,-29.75,-50.95,2.82
-93.15,-100.0,-101.05,30.5,-20.25,-100.0,3.84
-61.55,-106.2,-27.55,-28.6,-100.0,-100.0,4.24
33.85,-23.45,33.9,-100.0,32.15,30.95,-0.07
14.45,32.15,-100.0,-15.6,34.45,-100.0,1.35
-75.5,-100.1,-100.0,30.75,-21.25,-23.3,2.89
-85.35,-101.05,-101.1,-6.45,-100.0,-28.95,4.23
-102.95,-100.0,-100.35,-6.35,-67.8,-100.0,4.77
-78.45,-100.0,-107.0,33.9,36.2,-51.5,2.67
-100.0,-100.9,-100.0,-80.35,30.2,-100.0,4.51
-100.0,-102.25,-100.4,-100.0,-109.45,-100.0,6.12
-77.6,-100.0,41.9,34.85,-0.8,-73.6,1.75
-100.3,-100.1,-100.0,58.9,-100.0,-100.0,4.42
-12.05,-100.0,-100.0,-19.25,-34.4,-60.0,3.26
-29.8,-100.0,-100.0,33.65,-100.0,-66.3,3.62
30.85,-100.0,-107.25,30.45,34.7,-41.45,1.53
31.8,-106.85,-100.45,33.2,-12.45,-80.15,2.35
-32.6,-107.8,-108.75,-92.2,-100.0,-67.7,5.09
43.6,-81.2,-109.8,-5.45,-60.1,-100.0,3.13
-100.0,-100.37,-108.7,-64.45,-100.0,-25.35,4.99
-14.45,-104.8,-105.35,30.15,-51.25,-71.85,3.18
-21.35,-104.12,-106.45,47.25,-100.0,-67.3,3.52
-72.4,34.2,-107.8,31.4,-8.8,36.2,0.87
46.3,-100.0,-107.2,-76.05,-100.0,-100.0,4.37
-81.4,30.45,-100.0,-27.1,-57.85,-100.0,3.36
32.95,-100.35,-106.85,30.7,-54.75,36.65,1.62
-43.05,-88.15,32.9,-100.0,31.1,-38.8,2.06
-100.0,-100.0,-100.0,-38.95,34.75,-100.0,4.04
-13.5,-100.75,-51.3,-17.15,-107.9,-100.0,3.91
31.95,-100.0,-101.2,31.65,-40.15,-21.7,1.99
37.8,-69.75,-103.3,31.55,-100.1,-100.0,3.04
37.3,39.4,-40.75,38.35,-37.0,-56.45,0.19
-35.05,34.5,33.55,30.2,37.95,37.3,-1.38
38.45,-101.2,30.05,35.65,38.8,-100.0,0.58
